gain,strategy,pass,event_index,at,kind,message,codes,tau_s,channel,error_uv,pp_uv,spread_uv,data_json
24,sequential,False,0,2026-09-09T00:27:57,gain_start,"
Autocalibrando x24 desde cero (sequential)","[16, 0, 0, 0]",,,,,,"{""at"":""2026-09-09T00:27:57"",""kind"":""gain_start"",""message"":""\nAutocalibrando x24 desde cero (sequential)""}"
24,sequential,False,1,2026-09-09T00:28:25,startup_stable,  arranque estable: ch0 Δ=0.6mV ch1 Δ=1.3mV ch2 Δ=2.9mV ch3 Δ=3.0mV ch4 Δ=0.0mV,"[16, 0, 0, 0]",,,,,,"{""at"":""2026-09-09T00:28:25"",""kind"":""startup_stable"",""message"":""  arranque estable: ch0 Δ=0.6mV ch1 Δ=1.3mV ch2 Δ=2.9mV ch3 Δ=3.0mV ch4 Δ=0.0mV"",""elapsed_s"":27.560390600003302,""stable_windows"":4,""deltas_uv"":{""0"":630,""1"":1335,""2"":2899,""3"":2975,""4"":19},""thresholds_uv"":[5000,2500,5000,8000,8000],""samples"":[{""0"":{""mean_uv"":953674,""error_uv"":-46326,""pp_uv"":2498},""1"":{""mean_uv"":999412,""error_uv"":-588,""pp_uv"":2593},""2"":{""mean_uv"":1068782,""error_uv"":68782,""pp_uv"":400},""3"":{""mean_uv"":1068973,""error_uv"":68973,""pp_uv"":362},""4"":{""mean_uv"":732326,""error_uv"":-267674,""pp_uv"":114}},{""0"":{""mean_uv"":953960,""error_uv"":-46040,""pp_uv"":2861},""1"":{""mean_uv"":997505,""error_uv"":-2495,""pp_uv"":3242},""2"":{""mean_uv"":1074733,""error_uv"":74733,""pp_uv"":667},""3"":{""mean_uv"":1074714,""error_uv"":74714,""pp_uv"":438},""4"":{""mean_uv"":732326,""error_uv"":-267674,""pp_uv"":190}},{""0"":{""mean_uv"":953655,""error_uv"":-46345,""pp_uv"":2803},""1"":{""mean_uv"":996093,""error_uv"":-3907,""pp_uv"":3967},""2"":{""mean_uv"":1079559,""error_uv"":79559,""pp_uv"":801},""3"":{""mean_uv"":1079444,""error_uv"":79444,""pp_uv"":514},""4"":{""mean_uv"":732383,""error_uv"":-267617,""pp_uv"":190}},{""0"":{""mean_uv"":953559,""error_uv"":-46441,""pp_uv"":2956},""1"":{""mean_uv"":994796,""error_uv"":-5204,""pp_uv"":2803},""2"":{""mean_uv"":1083793,""error_uv"":83793,""pp_uv"":629},""3"":{""mean_uv"":1083545,""error_uv"":83545,""pp_uv"":438},""4"":{""mean_uv"":732364,""error_uv"":-267636,""pp_uv"":133}},{""0"":{""mean_uv"":953178,""error_uv"":-46822,""pp_uv"":2613},""1"":{""mean_uv"":994167,""error_uv"":-5833,""pp_uv"":3166},""2"":{""mean_uv"":1087398,""error_uv"":87398,""pp_uv"":724},""3"":{""mean_uv"":1087131,""error_uv"":87131,""pp_uv"":495},""4"":{""mean_uv"":732383,""error_uv"":-267617,""pp_uv"":171}},{""0"":{""mean_uv"":952548,""error_uv"":-47452,""pp_uv"":2937},""1"":{""mean_uv"":992832,""error_uv"":-7168,""pp_uv"":3204},""2"":{""mean_uv"":1090297,""error_uv"":90297,""pp_uv"":381},""3"":{""mean_uv"":1090106,""error_uv"":90106,""pp_uv"":457},""4"":{""mean_uv"":732364,""error_uv"":-267636,""pp_uv"":133}}]}"
24,sequential,False,2,2026-09-09T00:28:36,observation,    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV,"[0, 0, 0, 0]",,0,-47490,2861,115,"{""at"":""2026-09-09T00:28:36"",""kind"":""observation"",""message"":""    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV"",""label"":""estado neutro estable"",""observation"":{""errors_uv"":{""0"":-47490,""1"":-8847,""2"":94322,""3"":94188,""4"":-267693},""pp_uv"":{""0"":2861,""1"":2574,""2"":476,""3"":400,""4"":190},""spread_uv"":{""0"":115,""1"":1450,""2"":3682,""3"":3720,""4"":95},""samples"":[{""0"":{""mean_uv"":952510,""error_uv"":-47490,""pp_uv"":2861},""1"":{""mean_uv"":991802,""error_uv"":-8198,""pp_uv"":2574},""2"":{""mean_uv"":1092414,""error_uv"":92414,""pp_uv"":381},""3"":{""mean_uv"":1092166,""error_uv"":92166,""pp_uv"":362},""4"":{""mean_uv"":732288,""error_uv"":-267712,""pp_uv"":152}},{""0"":{""mean_uv"":952491,""error_uv"":-47509,""pp_uv"":3185},""1"":{""mean_uv"":991153,""error_uv"":-8847,""pp_uv"":2555},""2"":{""mean_uv"":1094322,""error_uv"":94322,""pp_uv"":476},""3"":{""mean_uv"":1094188,""error_uv"":94188,""pp_uv"":572},""4"":{""mean_uv"":732383,""error_uv"":-267617,""pp_uv"":209}},{""0"":{""mean_uv"":952606,""error_uv"":-47394,""pp_uv"":2727},""1"":{""mean_uv"":990352,""error_uv"":-9648,""pp_uv"":2613},""2"":{""mean_uv"":1096096,""error_uv"":96096,""pp_uv"":629},""3"":{""mean_uv"":1095886,""error_uv"":95886,""pp_uv"":400},""4"":{""mean_uv"":732307,""error_uv"":-267693,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
24,sequential,False,2,2026-09-09T00:28:36,observation,    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV,"[0, 0, 0, 0]",,1,-8847,2574,1450,"{""at"":""2026-09-09T00:28:36"",""kind"":""observation"",""message"":""    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV"",""label"":""estado neutro estable"",""observation"":{""errors_uv"":{""0"":-47490,""1"":-8847,""2"":94322,""3"":94188,""4"":-267693},""pp_uv"":{""0"":2861,""1"":2574,""2"":476,""3"":400,""4"":190},""spread_uv"":{""0"":115,""1"":1450,""2"":3682,""3"":3720,""4"":95},""samples"":[{""0"":{""mean_uv"":952510,""error_uv"":-47490,""pp_uv"":2861},""1"":{""mean_uv"":991802,""error_uv"":-8198,""pp_uv"":2574},""2"":{""mean_uv"":1092414,""error_uv"":92414,""pp_uv"":381},""3"":{""mean_uv"":1092166,""error_uv"":92166,""pp_uv"":362},""4"":{""mean_uv"":732288,""error_uv"":-267712,""pp_uv"":152}},{""0"":{""mean_uv"":952491,""error_uv"":-47509,""pp_uv"":3185},""1"":{""mean_uv"":991153,""error_uv"":-8847,""pp_uv"":2555},""2"":{""mean_uv"":1094322,""error_uv"":94322,""pp_uv"":476},""3"":{""mean_uv"":1094188,""error_uv"":94188,""pp_uv"":572},""4"":{""mean_uv"":732383,""error_uv"":-267617,""pp_uv"":209}},{""0"":{""mean_uv"":952606,""error_uv"":-47394,""pp_uv"":2727},""1"":{""mean_uv"":990352,""error_uv"":-9648,""pp_uv"":2613},""2"":{""mean_uv"":1096096,""error_uv"":96096,""pp_uv"":629},""3"":{""mean_uv"":1095886,""error_uv"":95886,""pp_uv"":400},""4"":{""mean_uv"":732307,""error_uv"":-267693,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
24,sequential,False,2,2026-09-09T00:28:36,observation,    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV,"[0, 0, 0, 0]",,2,94322,476,3682,"{""at"":""2026-09-09T00:28:36"",""kind"":""observation"",""message"":""    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV"",""label"":""estado neutro estable"",""observation"":{""errors_uv"":{""0"":-47490,""1"":-8847,""2"":94322,""3"":94188,""4"":-267693},""pp_uv"":{""0"":2861,""1"":2574,""2"":476,""3"":400,""4"":190},""spread_uv"":{""0"":115,""1"":1450,""2"":3682,""3"":3720,""4"":95},""samples"":[{""0"":{""mean_uv"":952510,""error_uv"":-47490,""pp_uv"":2861},""1"":{""mean_uv"":991802,""error_uv"":-8198,""pp_uv"":2574},""2"":{""mean_uv"":1092414,""error_uv"":92414,""pp_uv"":381},""3"":{""mean_uv"":1092166,""error_uv"":92166,""pp_uv"":362},""4"":{""mean_uv"":732288,""error_uv"":-267712,""pp_uv"":152}},{""0"":{""mean_uv"":952491,""error_uv"":-47509,""pp_uv"":3185},""1"":{""mean_uv"":991153,""error_uv"":-8847,""pp_uv"":2555},""2"":{""mean_uv"":1094322,""error_uv"":94322,""pp_uv"":476},""3"":{""mean_uv"":1094188,""error_uv"":94188,""pp_uv"":572},""4"":{""mean_uv"":732383,""error_uv"":-267617,""pp_uv"":209}},{""0"":{""mean_uv"":952606,""error_uv"":-47394,""pp_uv"":2727},""1"":{""mean_uv"":990352,""error_uv"":-9648,""pp_uv"":2613},""2"":{""mean_uv"":1096096,""error_uv"":96096,""pp_uv"":629},""3"":{""mean_uv"":1095886,""error_uv"":95886,""pp_uv"":400},""4"":{""mean_uv"":732307,""error_uv"":-267693,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
24,sequential,False,2,2026-09-09T00:28:36,observation,    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV,"[0, 0, 0, 0]",,3,94188,400,3720,"{""at"":""2026-09-09T00:28:36"",""kind"":""observation"",""message"":""    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV"",""label"":""estado neutro estable"",""observation"":{""errors_uv"":{""0"":-47490,""1"":-8847,""2"":94322,""3"":94188,""4"":-267693},""pp_uv"":{""0"":2861,""1"":2574,""2"":476,""3"":400,""4"":190},""spread_uv"":{""0"":115,""1"":1450,""2"":3682,""3"":3720,""4"":95},""samples"":[{""0"":{""mean_uv"":952510,""error_uv"":-47490,""pp_uv"":2861},""1"":{""mean_uv"":991802,""error_uv"":-8198,""pp_uv"":2574},""2"":{""mean_uv"":1092414,""error_uv"":92414,""pp_uv"":381},""3"":{""mean_uv"":1092166,""error_uv"":92166,""pp_uv"":362},""4"":{""mean_uv"":732288,""error_uv"":-267712,""pp_uv"":152}},{""0"":{""mean_uv"":952491,""error_uv"":-47509,""pp_uv"":3185},""1"":{""mean_uv"":991153,""error_uv"":-8847,""pp_uv"":2555},""2"":{""mean_uv"":1094322,""error_uv"":94322,""pp_uv"":476},""3"":{""mean_uv"":1094188,""error_uv"":94188,""pp_uv"":572},""4"":{""mean_uv"":732383,""error_uv"":-267617,""pp_uv"":209}},{""0"":{""mean_uv"":952606,""error_uv"":-47394,""pp_uv"":2727},""1"":{""mean_uv"":990352,""error_uv"":-9648,""pp_uv"":2613},""2"":{""mean_uv"":1096096,""error_uv"":96096,""pp_uv"":629},""3"":{""mean_uv"":1095886,""error_uv"":95886,""pp_uv"":400},""4"":{""mean_uv"":732307,""error_uv"":-267693,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
24,sequential,False,2,2026-09-09T00:28:36,observation,    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV,"[0, 0, 0, 0]",,4,-267693,190,95,"{""at"":""2026-09-09T00:28:36"",""kind"":""observation"",""message"":""    estado neutro estable: PGAgain=-47.5mV BPo=-8.8mV OPA_SUMo=+94.3mV SUMo=+94.2mV LPo=-267.7mV"",""label"":""estado neutro estable"",""observation"":{""errors_uv"":{""0"":-47490,""1"":-8847,""2"":94322,""3"":94188,""4"":-267693},""pp_uv"":{""0"":2861,""1"":2574,""2"":476,""3"":400,""4"":190},""spread_uv"":{""0"":115,""1"":1450,""2"":3682,""3"":3720,""4"":95},""samples"":[{""0"":{""mean_uv"":952510,""error_uv"":-47490,""pp_uv"":2861},""1"":{""mean_uv"":991802,""error_uv"":-8198,""pp_uv"":2574},""2"":{""mean_uv"":1092414,""error_uv"":92414,""pp_uv"":381},""3"":{""mean_uv"":1092166,""error_uv"":92166,""pp_uv"":362},""4"":{""mean_uv"":732288,""error_uv"":-267712,""pp_uv"":152}},{""0"":{""mean_uv"":952491,""error_uv"":-47509,""pp_uv"":3185},""1"":{""mean_uv"":991153,""error_uv"":-8847,""pp_uv"":2555},""2"":{""mean_uv"":1094322,""error_uv"":94322,""pp_uv"":476},""3"":{""mean_uv"":1094188,""error_uv"":94188,""pp_uv"":572},""4"":{""mean_uv"":732383,""error_uv"":-267617,""pp_uv"":209}},{""0"":{""mean_uv"":952606,""error_uv"":-47394,""pp_uv"":2727},""1"":{""mean_uv"":990352,""error_uv"":-9648,""pp_uv"":2613},""2"":{""mean_uv"":1096096,""error_uv"":96096,""pp_uv"":629},""3"":{""mean_uv"":1095886,""error_uv"":95886,""pp_uv"":400},""4"":{""mean_uv"":732307,""error_uv"":-267693,""pp_uv"":190}}]},""codes"":[0,0,0,0]}"
24,sequential,False,3,2026-09-09T00:28:47,observation,    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV,"[0, 0, 0, 0]",,0,-47280,2117,573,"{""at"":""2026-09-09T00:28:47"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-47280,""1"":-10468,""2"":98957,""3"":98861,""4"":-267655},""pp_uv"":{""0"":2117,""1"":2593,""2"":476,""3"":572,""4"":190},""spread_uv"":{""0"":573,""1"":878,""2"":2422,""3"":2365,""4"":38},""samples"":[{""0"":{""mean_uv"":952720,""error_uv"":-47280,""pp_uv"":2689},""1"":{""mean_uv"":990238,""error_uv"":-9762,""pp_uv"":2593},""2"":{""mean_uv"":1097660,""error_uv"":97660,""pp_uv"":648},""3"":{""mean_uv"":1097469,""error_uv"":97469,""pp_uv"":572},""4"":{""mean_uv"":732364,""error_uv"":-267636,""pp_uv"":190}},{""0"":{""mean_uv"":952548,""error_uv"":-47452,""pp_uv"":2117},""1"":{""mean_uv"":989532,""error_uv"":-10468,""pp_uv"":2784},""2"":{""mean_uv"":1098957,""error_uv"":98957,""pp_uv"":419},""3"":{""mean_uv"":1098861,""error_uv"":98861,""pp_uv"":476},""4"":{""mean_uv"":732345,""error_uv"":-267655,""pp_uv"":228}},{""0"":{""mean_uv"":953121,""error_uv"":-46879,""pp_uv"":1831},""1"":{""mean_uv"":989360,""error_uv"":-10640,""pp_uv"":2574},""2"":{""mean_uv"":1100082,""error_uv"":100082,""pp_uv"":476},""3"":{""mean_uv"":1099834,""error_uv"":99834,""pp_uv"":648},""4"":{""mean_uv"":732326,""error_uv"":-267674,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,sequential,False,3,2026-09-09T00:28:47,observation,    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV,"[0, 0, 0, 0]",,1,-10468,2593,878,"{""at"":""2026-09-09T00:28:47"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-47280,""1"":-10468,""2"":98957,""3"":98861,""4"":-267655},""pp_uv"":{""0"":2117,""1"":2593,""2"":476,""3"":572,""4"":190},""spread_uv"":{""0"":573,""1"":878,""2"":2422,""3"":2365,""4"":38},""samples"":[{""0"":{""mean_uv"":952720,""error_uv"":-47280,""pp_uv"":2689},""1"":{""mean_uv"":990238,""error_uv"":-9762,""pp_uv"":2593},""2"":{""mean_uv"":1097660,""error_uv"":97660,""pp_uv"":648},""3"":{""mean_uv"":1097469,""error_uv"":97469,""pp_uv"":572},""4"":{""mean_uv"":732364,""error_uv"":-267636,""pp_uv"":190}},{""0"":{""mean_uv"":952548,""error_uv"":-47452,""pp_uv"":2117},""1"":{""mean_uv"":989532,""error_uv"":-10468,""pp_uv"":2784},""2"":{""mean_uv"":1098957,""error_uv"":98957,""pp_uv"":419},""3"":{""mean_uv"":1098861,""error_uv"":98861,""pp_uv"":476},""4"":{""mean_uv"":732345,""error_uv"":-267655,""pp_uv"":228}},{""0"":{""mean_uv"":953121,""error_uv"":-46879,""pp_uv"":1831},""1"":{""mean_uv"":989360,""error_uv"":-10640,""pp_uv"":2574},""2"":{""mean_uv"":1100082,""error_uv"":100082,""pp_uv"":476},""3"":{""mean_uv"":1099834,""error_uv"":99834,""pp_uv"":648},""4"":{""mean_uv"":732326,""error_uv"":-267674,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,sequential,False,3,2026-09-09T00:28:47,observation,    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV,"[0, 0, 0, 0]",,2,98957,476,2422,"{""at"":""2026-09-09T00:28:47"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-47280,""1"":-10468,""2"":98957,""3"":98861,""4"":-267655},""pp_uv"":{""0"":2117,""1"":2593,""2"":476,""3"":572,""4"":190},""spread_uv"":{""0"":573,""1"":878,""2"":2422,""3"":2365,""4"":38},""samples"":[{""0"":{""mean_uv"":952720,""error_uv"":-47280,""pp_uv"":2689},""1"":{""mean_uv"":990238,""error_uv"":-9762,""pp_uv"":2593},""2"":{""mean_uv"":1097660,""error_uv"":97660,""pp_uv"":648},""3"":{""mean_uv"":1097469,""error_uv"":97469,""pp_uv"":572},""4"":{""mean_uv"":732364,""error_uv"":-267636,""pp_uv"":190}},{""0"":{""mean_uv"":952548,""error_uv"":-47452,""pp_uv"":2117},""1"":{""mean_uv"":989532,""error_uv"":-10468,""pp_uv"":2784},""2"":{""mean_uv"":1098957,""error_uv"":98957,""pp_uv"":419},""3"":{""mean_uv"":1098861,""error_uv"":98861,""pp_uv"":476},""4"":{""mean_uv"":732345,""error_uv"":-267655,""pp_uv"":228}},{""0"":{""mean_uv"":953121,""error_uv"":-46879,""pp_uv"":1831},""1"":{""mean_uv"":989360,""error_uv"":-10640,""pp_uv"":2574},""2"":{""mean_uv"":1100082,""error_uv"":100082,""pp_uv"":476},""3"":{""mean_uv"":1099834,""error_uv"":99834,""pp_uv"":648},""4"":{""mean_uv"":732326,""error_uv"":-267674,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,sequential,False,3,2026-09-09T00:28:47,observation,    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV,"[0, 0, 0, 0]",,3,98861,572,2365,"{""at"":""2026-09-09T00:28:47"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-47280,""1"":-10468,""2"":98957,""3"":98861,""4"":-267655},""pp_uv"":{""0"":2117,""1"":2593,""2"":476,""3"":572,""4"":190},""spread_uv"":{""0"":573,""1"":878,""2"":2422,""3"":2365,""4"":38},""samples"":[{""0"":{""mean_uv"":952720,""error_uv"":-47280,""pp_uv"":2689},""1"":{""mean_uv"":990238,""error_uv"":-9762,""pp_uv"":2593},""2"":{""mean_uv"":1097660,""error_uv"":97660,""pp_uv"":648},""3"":{""mean_uv"":1097469,""error_uv"":97469,""pp_uv"":572},""4"":{""mean_uv"":732364,""error_uv"":-267636,""pp_uv"":190}},{""0"":{""mean_uv"":952548,""error_uv"":-47452,""pp_uv"":2117},""1"":{""mean_uv"":989532,""error_uv"":-10468,""pp_uv"":2784},""2"":{""mean_uv"":1098957,""error_uv"":98957,""pp_uv"":419},""3"":{""mean_uv"":1098861,""error_uv"":98861,""pp_uv"":476},""4"":{""mean_uv"":732345,""error_uv"":-267655,""pp_uv"":228}},{""0"":{""mean_uv"":953121,""error_uv"":-46879,""pp_uv"":1831},""1"":{""mean_uv"":989360,""error_uv"":-10640,""pp_uv"":2574},""2"":{""mean_uv"":1100082,""error_uv"":100082,""pp_uv"":476},""3"":{""mean_uv"":1099834,""error_uv"":99834,""pp_uv"":648},""4"":{""mean_uv"":732326,""error_uv"":-267674,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,sequential,False,3,2026-09-09T00:28:47,observation,    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV,"[0, 0, 0, 0]",,4,-267655,190,38,"{""at"":""2026-09-09T00:28:47"",""kind"":""observation"",""message"":""    base para estimar tau: PGAgain=-47.3mV BPo=-10.5mV OPA_SUMo=+99.0mV SUMo=+98.9mV LPo=-267.7mV"",""label"":""base para estimar tau"",""observation"":{""errors_uv"":{""0"":-47280,""1"":-10468,""2"":98957,""3"":98861,""4"":-267655},""pp_uv"":{""0"":2117,""1"":2593,""2"":476,""3"":572,""4"":190},""spread_uv"":{""0"":573,""1"":878,""2"":2422,""3"":2365,""4"":38},""samples"":[{""0"":{""mean_uv"":952720,""error_uv"":-47280,""pp_uv"":2689},""1"":{""mean_uv"":990238,""error_uv"":-9762,""pp_uv"":2593},""2"":{""mean_uv"":1097660,""error_uv"":97660,""pp_uv"":648},""3"":{""mean_uv"":1097469,""error_uv"":97469,""pp_uv"":572},""4"":{""mean_uv"":732364,""error_uv"":-267636,""pp_uv"":190}},{""0"":{""mean_uv"":952548,""error_uv"":-47452,""pp_uv"":2117},""1"":{""mean_uv"":989532,""error_uv"":-10468,""pp_uv"":2784},""2"":{""mean_uv"":1098957,""error_uv"":98957,""pp_uv"":419},""3"":{""mean_uv"":1098861,""error_uv"":98861,""pp_uv"":476},""4"":{""mean_uv"":732345,""error_uv"":-267655,""pp_uv"":228}},{""0"":{""mean_uv"":953121,""error_uv"":-46879,""pp_uv"":1831},""1"":{""mean_uv"":989360,""error_uv"":-10640,""pp_uv"":2574},""2"":{""mean_uv"":1100082,""error_uv"":100082,""pp_uv"":476},""3"":{""mean_uv"":1099834,""error_uv"":99834,""pp_uv"":648},""4"":{""mean_uv"":732326,""error_uv"":-267674,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,sequential,False,4,2026-09-09T00:30:18,tau_measurement,  tau BP medido: 31.00 s,"[16, 0, 0, 0]",31.0,,,,,"{""at"":""2026-09-09T00:30:18"",""kind"":""tau_measurement"",""message"":""  tau BP medido: 31.00 s"",""direction"":1,""delta_code"":60,""points"":[[0.5830230999999912,366],[5.583766799987643,-435],[10.582439899997553,-1484],[15.584287899997435,-2743],[20.581848499990883,-3449],[25.582850699996925,-3735],[30.5856017999904,-4307],[35.58457699998689,-5261],[40.58316749999358,-5719],[45.60176349998801,-6367],[50.58229369999026,-6939],[55.602064799997606,-6768],[60.58350199999404,-7283],[65.58430529999896,-6806],[70.58529589998943,-7416],[75.60188239999115,-7569],[80.58600179999485,-7245],[85.58389239999815,-7092],[90.58408549999876,-7187]],""metrics"":{""tau_s"":31.0,""amplitude_uv"":8820.75303179838,""final_uv"":-8099.428395574809,""r2"":0.98385327579994,""residual_rms_uv"":313.5842287620071,""noise_uv"":878,""samples"":19},""tau_s"":31.0}"
24,sequential,False,5,2026-09-09T00:30:18,tau_transient_authority,  BP: tau válido; autoridad DC final no requerida,"[16, 0, 0, 0]",,,,,,"{""at"":""2026-09-09T00:30:18"",""kind"":""tau_transient_authority"",""message"":""  BP: tau válido; autoridad DC final no requerida"",""settled_effect_uv"":2368.5716044251913,""apparent_dc_slope_uv_per_code"":39.47619340708652}"
24,sequential,False,6,2026-09-09T00:31:30,observation,    tau aceptado; BP restaurado y asentado: PGAgain=-46.5mV BPo=-13.4mV OPA_SUMo=+106.9mV SUMo=+105.7mV LPo=-267.5mV,"[0, 0, 0, 0]",,0,-46517,1926,114,"{""at"":""2026-09-09T00:31:30"",""kind"":""observation"",""message"":""    tau aceptado; BP restaurado y asentado: PGAgain=-46.5mV BPo=-13.4mV OPA_SUMo=+106.9mV SUMo=+105.7mV LPo=-267.5mV"",""label"":""tau aceptado; BP restaurado y asentado"",""observation"":{""errors_uv"":{""0"":-46517,""1"":-13424,""2"":106872,""3"":105728,""4"":-267521},""pp_uv"":{""0"":1926,""1"":1811,""2"":514,""3"":381,""4"":114},""spread_uv"":{""0"":114,""1"":191,""2"":191,""3"":57,""4"":77},""samples"":[{""0"":{""mean_uv"":953369,""error_uv"":-46631,""pp_uv"":1296},""1"":{""mean_uv"":986576,""error_uv"":-13424,""pp_uv"":1811},""2"":{""mean_uv"":1106872,""error_uv"":106872,""pp_uv"":514},""3"":{""mean_uv"":1105709,""error_uv"":105709,""pp_uv"":267},""4"":{""mean_uv"":732440,""error_uv"":-267560,""pp_uv"":114}},{""0"":{""mean_uv"":953483,""error_uv"":-46517,""pp_uv"":1926},""1"":{""mean_uv"":986728,""error_uv"":-13272,""pp_uv"":1773},""2"":{""mean_uv"":1107025,""error_uv"":107025,""pp_uv"":267},""3"":{""mean_uv"":1105766,""error_uv"":105766,""pp_uv"":381},""4"":{""mean_uv"":732517,""error_uv"":-267483,""pp_uv"":114}},{""0"":{""mean_uv"":953483,""error_uv"":-46517,""pp_uv"":1926},""1"":{""mean_uv"":986537,""error_uv"":-13463,""pp_uv"":2746},""2"":{""mean_uv"":1106834,""error_uv"":106834,""pp_uv"":572},""3"":{""mean_uv"":1105728,""error_uv"":105728,""pp_uv"":534},""4"":{""mean_uv"":732479,""error_uv"":-267521,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
24,sequential,False,6,2026-09-09T00:31:30,observation,    tau aceptado; BP restaurado y asentado: PGAgain=-46.5mV BPo=-13.4mV OPA_SUMo=+106.9mV SUMo=+105.7mV LPo=-267.5mV,"[0, 0, 0, 0]",,1,-13424,1811,191,"{""at"":""2026-09-09T00:31:30"",""kind"":""observation"",""message"":""    tau aceptado; BP restaurado y asentado: PGAgain=-46.5mV BPo=-13.4mV OPA_SUMo=+106.9mV SUMo=+105.7mV LPo=-267.5mV"",""label"":""tau aceptado; BP restaurado y asentado"",""observation"":{""errors_uv"":{""0"":-46517,""1"":-13424,""2"":106872,""3"":105728,""4"":-267521},""pp_uv"":{""0"":1926,""1"":1811,""2"":514,""3"":381,""4"":114},""spread_uv"":{""0"":114,""1"":191,""2"":191,""3"":57,""4"":77},""samples"":[{""0"":{""mean_uv"":953369,""error_uv"":-46631,""pp_uv"":1296},""1"":{""mean_uv"":986576,""error_uv"":-13424,""pp_uv"":1811},""2"":{""mean_uv"":1106872,""error_uv"":106872,""pp_uv"":514},""3"":{""mean_uv"":1105709,""error_uv"":105709,""pp_uv"":267},""4"":{""mean_uv"":732440,""error_uv"":-267560,""pp_uv"":114}},{""0"":{""mean_uv"":953483,""error_uv"":-46517,""pp_uv"":1926},""1"":{""mean_uv"":986728,""error_uv"":-13272,""pp_uv"":1773},""2"":{""mean_uv"":1107025,""error_uv"":107025,""pp_uv"":267},""3"":{""mean_uv"":1105766,""error_uv"":105766,""pp_uv"":381},""4"":{""mean_uv"":732517,""error_uv"":-267483,""pp_uv"":114}},{""0"":{""mean_uv"":953483,""error_uv"":-46517,""pp_uv"":1926},""1"":{""mean_uv"":986537,""error_uv"":-13463,""pp_uv"":2746},""2"":{""mean_uv"":1106834,""error_uv"":106834,""pp_uv"":572},""3"":{""mean_uv"":1105728,""error_uv"":105728,""pp_uv"":534},""4"":{""mean_uv"":732479,""error_uv"":-267521,""pp_uv"":171}}]},""codes"":[0,0,0,0]}"
