t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
89.78,0,22,0,0,abba_idac0,A1,False,0,PGAgain,1002081.0,260.0,True,True,True,11.571021700000344
90.14,0,22,0,0,abba_idac0,A1,False,2,OPA_SUMo,1004640.0,261.0,True,True,True,62.535297999999734
92.0,0,26,0,0,abba_idac0,B1,False,0,PGAgain,1002459.0,269.0,True,True,True,19.09915629999893
92.36,0,26,0,0,abba_idac0,B1,False,2,OPA_SUMo,1002675.0,256.0,True,True,True,23.400947499999095
94.22,0,26,0,0,abba_idac0,B2,False,0,PGAgain,1002368.0,264.0,True,True,True,17.286827600001033
94.58,0,26,0,0,abba_idac0,B2,False,2,OPA_SUMo,1002641.0,281.0,True,True,True,22.72381369999926
96.44,0,22,0,0,abba_idac0,A2,False,0,PGAgain,1002193.0,268.0,True,True,True,13.801580099999674
96.8,0,22,0,0,abba_idac0,A2,False,2,OPA_SUMo,1004581.0,260.0,True,True,True,61.36027170000035
98.66,0,20,0,0,abba_idac0,A1,False,0,PGAgain,1002025.0,289.0,True,True,True,10.455742499999548
99.02,0,20,0,0,abba_idac0,A1,False,2,OPA_SUMo,1005480.0,281.0,True,True,True,79.26448600000036
100.88,0,28,0,0,abba_idac0,B1,False,0,PGAgain,1002479.0,275.0,True,True,True,19.497470300000835
101.24,0,28,0,0,abba_idac0,B1,False,2,OPA_SUMo,1001670.0,252.0,True,True,True,3.385668999999185
103.1,0,28,0,0,abba_idac0,B2,False,0,PGAgain,1002529.0,244.0,True,True,True,20.49325529999993
103.46,0,28,0,0,abba_idac0,B2,False,2,OPA_SUMo,1001718.0,275.0,True,True,True,4.341622599999221
105.32,0,20,0,0,abba_idac0,A2,False,0,PGAgain,1001965.0,280.0,True,True,True,9.260800500000634
105.68,0,20,0,0,abba_idac0,A2,False,2,OPA_SUMo,1005500.0,276.0,True,True,True,79.6628
170.36,1,24,-255,0,referencia,,False,0,PGAgain,1002296.0,280.0,True,True,True,15.85289720000098
170.72,1,24,-255,0,referencia,,False,1,BPo,980477.0,302.0,True,True,False,-418.6877611000005
171.08,1,24,-255,0,referencia,,False,2,OPA_SUMo,1095318.0,260.0,True,True,True,1868.4511425999997
171.44,1,24,-255,0,referencia,,False,3,SUMo,1097328.0,280.0,True,True,True,1908.4816995999995
171.8,1,24,-255,0,referencia,,False,4,LPo,875000.0,242.0,True,False,True,-2519.3360500000003
173.66,1,24,-255,-255,malla,,False,0,PGAgain,1002337.0,275.0,True,True,True,16.669440899999785
174.02,1,24,-255,-255,malla,,False,1,BPo,980501.0,262.0,True,True,True,-418.2097843000005
174.38,1,24,-255,-255,malla,,False,2,OPA_SUMo,906328.0,266.0,True,True,True,-1895.4170004000007
174.74,1,24,-255,-255,malla,,False,3,SUMo,908405.0,248.0,True,True,True,-1854.0520915000006
175.1,1,24,-255,-255,malla,,False,4,LPo,875000.0,250.0,True,False,True,-2519.3360500000003
176.96,1,24,-255,-128,malla,,False,0,PGAgain,1002307.0,286.0,True,True,True,16.071969900000326
177.32,1,24,-255,-128,malla,,False,1,BPo,980483.0,256.0,True,True,True,-418.56826690000105
177.68,1,24,-255,-128,malla,,False,2,OPA_SUMo,1000460.0,267.0,True,True,True,-20.712327999999278
178.04,1,24,-255,-128,malla,,False,3,SUMo,1002422.0,310.0,True,True,False,18.36227540000051
178.4,1,24,-255,-128,malla,,False,4,LPo,875000.0,271.0,True,False,True,-2519.3360500000003
180.26,1,24,-255,-64,malla,,False,0,PGAgain,1002302.0,250.0,True,True,True,15.972391400000417
180.62,1,24,-255,-64,malla,,False,1,BPo,980540.0,250.0,True,True,True,-417.4330720000007
180.98,1,24,-255,-64,malla,,False,2,OPA_SUMo,1047867.0,264.0,True,True,True,923.4312618999993
181.34,1,24,-255,-64,malla,,False,3,SUMo,1049889.0,288.0,True,True,True,963.700807299998
181.7,1,24,-255,-64,malla,,False,4,LPo,875000.0,260.0,True,False,True,-2519.3360500000003
183.56,1,24,-255,0,malla,,False,0,PGAgain,1002291.0,271.0,True,True,True,15.753318700001069
183.92,1,24,-255,0,malla,,False,1,BPo,980442.0,279.0,True,True,True,-419.38481059999987
184.28,1,24,-255,0,malla,,False,2,OPA_SUMo,1095243.0,272.0,True,True,True,1866.957465099999
184.64,1,24,-255,0,malla,,False,3,SUMo,1097326.0,249.0,True,True,True,1908.4418682000005
185.0,1,24,-255,0,malla,,False,4,LPo,875069.0,263.0,True,False,True,-2517.961866700001
186.86,1,24,-255,64,malla,,False,0,PGAgain,1002313.0,271.0,True,True,True,16.191464099999767
187.22,1,24,-255,64,malla,,False,1,BPo,980543.0,264.0,True,True,True,-417.3733248999999
187.58,1,24,-255,64,malla,,False,2,OPA_SUMo,1128000.0,277.0,True,False,True,2519.3360500000003
187.94,1,24,-255,64,malla,,False,3,SUMo,1128000.0,280.0,True,False,True,2519.3360500000003
188.3,1,24,-255,64,malla,,False,4,LPo,875001.0,265.0,True,False,True,-2519.3161343000006
190.16,1,24,-255,128,malla,,False,0,PGAgain,1002273.0,267.0,True,True,True,15.39483610000049
190.52,1,24,-255,128,malla,,False,1,BPo,980532.0,260.0,True,True,True,-417.59239759999923
190.88,1,24,-255,128,malla,,False,2,OPA_SUMo,1128000.0,257.0,True,False,True,2519.3360500000003
191.24,1,24,-255,128,malla,,False,3,SUMo,1128000.0,242.0,True,False,True,2519.3360500000003
191.6,1,24,-255,128,malla,,False,4,LPo,875000.0,244.0,True,False,True,-2519.3360500000003
193.46,1,24,-255,255,malla,,False,0,PGAgain,1002255.0,293.0,True,True,True,15.03635349999991
193.82,1,24,-255,255,malla,,False,1,BPo,980549.0,252.0,True,True,True,-417.25383070000044
194.18,1,24,-255,255,malla,,False,2,OPA_SUMo,1128000.0,255.0,True,False,True,2519.3360500000003
194.54,1,24,-255,255,malla,,False,3,SUMo,1128000.0,243.0,True,False,True,2519.3360500000003
194.9,1,24,-255,255,malla,,False,4,LPo,875000.0,245.0,True,False,True,-2519.3360500000003
259.58,1,24,-192,0,referencia,,False,0,PGAgain,1002259.0,252.0,True,True,True,15.116016300000291
259.94,1,24,-192,0,referencia,,False,1,BPo,986253.0,249.0,True,True,True,-303.6546778999992
260.3,1,24,-192,0,referencia,,False,2,OPA_SUMo,1072437.0,274.0,True,True,True,1412.760010899998
260.66,1,24,-192,0,referencia,,False,3,SUMo,1074541.0,272.0,True,True,True,1454.6626436999989
261.02,1,24,-192,0,referencia,,False,4,LPo,875005.0,263.0,True,False,True,-2519.2364715000003
262.88,1,24,-192,-255,malla,,False,0,PGAgain,1002257.0,246.0,True,True,True,15.07618489999897
263.24,1,24,-192,-255,malla,,False,1,BPo,986206.0,269.0,True,True,True,-304.59071579999966
263.6,1,24,-192,-255,malla,,False,2,OPA_SUMo,883421.0,266.0,True,True,True,-2351.625940299999
263.96,1,24,-192,-255,malla,,False,3,SUMo,885406.0,271.0,True,True,True,-2312.0932758000013
264.32,1,24,-192,-255,malla,,False,4,LPo,875023.0,259.0,True,False,True,-2518.8779888999998
266.18,1,24,-192,-128,malla,,False,0,PGAgain,1002339.0,263.0,True,True,True,16.709272300001107
266.54,1,24,-192,-128,malla,,False,1,BPo,986221.0,260.0,True,True,True,-304.2919802999999
266.9,1,24,-192,-128,malla,,False,2,OPA_SUMo,977637.0,253.0,True,True,True,-475.2483491000011
267.26,1,24,-192,-128,malla,,False,3,SUMo,979558.0,242.0,True,True,True,-436.99028940000017
267.62,1,24,-192,-128,malla,,False,4,LPo,875000.0,273.0,True,False,True,-2519.3360500000003
269.48,1,24,-192,-64,malla,,False,0,PGAgain,1002284.0,262.0,True,True,True,15.613908799999837
269.84,1,24,-192,-64,malla,,False,1,BPo,986260.0,256.0,True,True,True,-303.5152680000002
270.2,1,24,-192,-64,malla,,False,2,OPA_SUMo,1025059.0,249.0,True,True,True,469.1939762999994
270.56,1,24,-192,-64,malla,,False,3,SUMo,1027034.0,258.0,True,True,True,508.52748380000213
270.92,1,24,-192,-64,malla,,False,4,LPo,875000.0,258.0,True,False,True,-2519.3360500000003
272.78,1,24,-192,0,malla,,False,0,PGAgain,1002302.0,262.0,True,True,True,15.972391400000417
273.14,1,24,-192,0,malla,,False,1,BPo,986202.0,262.0,True,True,True,-304.67037860000005
273.5,1,24,-192,0,malla,,False,2,OPA_SUMo,1072491.0,253.0,True,True,True,1413.8354587
273.86,1,24,-192,0,malla,,False,3,SUMo,1074425.0,253.0,True,True,True,1452.3524224999992
